time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-12T14:16:25.310Z,38.8139992,-122.828331,1.87,0.85,md,15,64,0.005166,0.03,nc,nc73196566,2019-06-12T14:24:02.643Z,"8km WNW of The Geysers, CA",earthquake,0.27,0.66,0.04,2,automatic,nc,nc
2019-06-12T14:09:47.370Z,39.5724983,-123.3366699,2.79,1.71,md,8,157,0.09522,0.02,nc,nc73196556,2019-06-12T16:59:03.531Z,"15km NNE of Brooktrails, CA",earthquake,0.46,3.55,0.12,5,automatic,nc,nc
2019-06-12T13:43:21.650Z,37.546,-118.8383333,5.56,0.5,md,10,122,0.04456,0.04,nc,nc73196546,2019-06-12T17:13:03.610Z,"14km W of Toms Place, CA",earthquake,0.38,0.9,0.281,10,reviewed,nc,nc
2019-06-12T13:17:03.310Z,34.0436667,-117.5101667,3.92,1.3,ml,41,54,0.04753,0.17,ci,ci38637240,2019-06-12T13:27:43.870Z,"4km NNW of Glen Avon, CA",earthquake,0.2,0.56,0.211,29,automatic,ci,ci
2019-06-12T13:10:11.220Z,38.760334,-122.7289963,2.05,0.94,md,8,134,0.01433,0.03,nc,nc73196531,2019-06-12T15:37:03.061Z,"3km SE of The Geysers, CA",earthquake,0.61,0.65,0.04,2,automatic,nc,nc
2019-06-12T13:01:17.870Z,38.2295,-117.4638,7.6,1.4,ml,15,195.18,0.244,0.06,nn,nn00687395,2019-06-12T13:05:45.086Z,"27km NW of Tonopah, Nevada",earthquake,,9.2,,,automatic,nn,nn
2019-06-12T12:56:49.240Z,37.637,-118.903,4.98,0.2,md,9,151,0.008856,0.04,nc,nc73196526,2019-06-12T17:00:05.537Z,"7km E of Mammoth Lakes, CA",earthquake,0.66,0.57,0.143,9,reviewed,nc,nc
2019-06-12T12:53:08.520Z,38.8064995,-122.8154984,3.12,0.97,md,24,55,0.01095,0.04,nc,nc73196521,2019-06-12T15:10:02.905Z,"6km WNW of The Geysers, CA",earthquake,0.24,0.5,0.14,4,automatic,nc,nc
2019-06-12T12:48:00.930Z,37.2598333,-118.7676667,2.49,1.33,md,8,298,0.3332,0.06,nc,nc73196516,2019-06-12T16:55:04.506Z,"23km SW of Round Valley, CA",earthquake,0.87,31.61,0.138,8,reviewed,nc,nc
2019-06-12T12:33:47.130Z,37.2598,-115.0228,7.1,1.3,ml,22,128.52,0.111,0.31,nn,nn00687393,2019-06-12T13:02:26.455Z,"17km SE of Alamo, Nevada",earthquake,,22.8,,,automatic,nn,nn
2019-06-12T12:33:07.030Z,32.6811667,-115.8265,8.64,0.94,ml,15,91,0.08747,0.18,ci,ci38637168,2019-06-12T12:36:36.981Z,"17km ESE of Ocotillo, CA",earthquake,0.54,0.86,0.232,7,automatic,ci,ci
2019-06-12T12:06:02.341Z,66.2826,-157.3944,7.7,1.3,ml,,,,0.85,ak,ak0197hrs28n,2019-06-12T12:14:49.015Z,"73km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-06-12T12:00:40.750Z,38.8129997,-122.8273315,2.39,0.56,md,10,117,0.01176,0.03,nc,nc73196506,2019-06-12T12:15:03.896Z,"7km WNW of The Geysers, CA",earthquake,0.36,0.79,,1,automatic,nc,nc
2019-06-12T11:58:58.425Z,66.2861,-157.2485,9.3,1.2,ml,,,,0.36,ak,ak0197hrhw67,2019-06-12T12:02:25.979Z,"71km SSW of Kobuk, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-06-12T11:58:46.400Z,46.583,-112.4755,15.55,0.74,ml,6,120,0.062,0.13,mb,mb80347959,2019-06-12T15:46:45.130Z,"27km W of Helena West Side, Montana",earthquake,0.57,0.82,0.07,3,reviewed,mb,mb
2019-06-12T11:58:01.430Z,32.6748333,-115.8191667,9.63,1.84,ml,30,83,0.08229,0.23,ci,ci38637120,2019-06-12T12:08:26.830Z,"18km ESE of Ocotillo, CA",earthquake,0.47,0.79,0.167,27,automatic,ci,ci
2019-06-12T11:43:35.520Z,40.1128349,-122.1735001,25.8,2.58,md,24,57,0.1023,0.42,nc,nc73196496,2019-06-12T15:39:52.777Z,"7km NNW of Gerber, CA",earthquake,1.03,1.1,0.12,19,automatic,nc,nc
2019-06-12T11:33:08.720Z,34.0365,-117.5066667,2.29,1.14,ml,33,47,0.04327,0.23,ci,ci38637104,2019-06-12T11:36:48.629Z,"3km NW of Glen Avon, CA",earthquake,0.32,0.45,0.244,27,automatic,ci,ci
2019-06-12T11:26:10.800Z,34.0446667,-117.513,3.55,0.9,ml,22,65,0.05006,0.17,ci,ci38637096,2019-06-12T11:29:44.482Z,"4km NW of Glen Avon, CA",earthquake,0.34,0.83,0.183,27,automatic,ci,ci
2019-06-12T11:02:29.740Z,38.810833,-122.821167,2.9,1.03,md,20,50,0.006559,0.03,nc,nc73196481,2019-06-12T11:34:02.657Z,"7km WNW of The Geysers, CA",earthquake,0.25,0.51,0.09,4,automatic,nc,nc
2019-06-12T10:59:53.830Z,37.6588333,-118.8643333,3.01,0.5,md,18,133,0.02955,0.07,nc,nc73196476,2019-06-12T16:48:02.466Z,"10km ENE of Mammoth Lakes, CA",earthquake,0.27,0.32,0.167,15,reviewed,nc,nc
